Column
ED_SCHPOV
ED_TEACHXP
HE_FOOD
HE_GREEN
HE_VACANCY
HE_SUPRFND
HE_RSEI
HE_PM25
HE_OZONE
HE_HEAT
SE_JOBPROX
SE_POVRATE
SE_PUBLIC
SE_SINGLE
